"title","authors","issue","abstract"
"对立的双生子：基于疼痛的安慰剂效应和反安慰剂效应机制","邓潇斐1,2;罗非1;郭建友1","2015 Vol. 23 Issue (5)  822-835<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00822","心理预期是具有方向性的, 可分为正性(积极的)和负性(消极的)预期, 它们相互对立, 并对人的身心状况产生不同的影响。在长久以来的临床实践中, 预期对疾病治疗和某些生理体验的强大调节作用逐渐为人们所知, 并根据其调节方向的不同催生出两个重要概念, 即安慰剂与反安慰剂效应。目前关于安慰剂与反安慰剂的研究主要集中在疼痛领域。出人意料的是, 尽管二者在疼痛调节上具有相似的心理机制, 其内在神经基础并不完全相同：安慰剂效应与反安慰剂效应分别由阿片肽系统和胆囊收缩素系统所介导; 在影像学研究中, 疼痛加工系统和脊髓在安慰剂/反安慰剂的调节下呈现相反的激活模式, 而海马在反安慰剂中的活动具有特异性。"
"进化的女性生理周期：波动的繁衍动机和行为表现","陈瑞;郑毓煌","2015 Vol. 23 Issue (5)  836-848<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00836","进化心理学认为女性会随生理周期的变化发生心理和行为的波动, 这是由于短暂受孕机会造成的繁衍动机的波动。排卵带来的受孕机会使得女性产生更加强烈的性欲, 追求、吸引配偶。为了确保子女基因的优良, 女性在排卵期偏好具备优良基因特质的男性, 同时采取自我保护行为以避免遗传基因被玷污。此外, 女性排卵期的特征还会影响到男性的动机和行为。未来研究应进一步探索排卵期对女性同性间竞争等其他动机的影响, 以及消费行为等方面的研究, 以拓展实践启示。"
"躯体化的心身交互机制及其中的文化因素","陈子晨;汪新建","2015 Vol. 23 Issue (5)  849-857<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00849","基于神经生物学的心身交互作用是当前躯体化病理机制的一个研究重点。在生理-心理的功能连续体中, 认知学习、感觉监控、注意、记忆过程等都会影响躯体症状的呈现。文化则会通过这些过程塑造个体对症状的归因和解释, 引发躯体症状的呈现和扩大, 最终通过不同文化特有的民族生理学模式形成具有文化特异性的疑病焦虑和医学无法解释症状。"
"老年人行为决策：领域现状与挑战","张力元1;毕研玲1;张宝山1;陈璐2","2015 Vol. 23 Issue (5)  858-870<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00858","老年人的决策特点在多个领域各有不同, 具体表现为消费领域的信息搜索数量下降, 风险决策中的风险规避倾向, 医疗决策中对框架效应敏感性的下降以及日常决策中存在经验优势等。总的来说, 老年人在一部分决策任务中表现较差, 而在另一部分决策任务中表现与年轻人无差异甚至优于年轻人。老年人的决策效度主要受到个体认知、情绪和任务特征等因素的交互影响, 遵循个体-情境拟合理论。未来研究除了要继续探讨老年决策者在不同领域决策任务下的表现及影响因素, 并深入解决决策质量及策略等方面争议外, 还应进一步加强对被试特征、决策策略、跨文化等一系列变量及认知神经机制的研究。"
"社会兴趣：概念、测量以及相关研究","吴杰;郭本禹","2015 Vol. 23 Issue (5)  871-878<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00871","社会兴趣是指对待他人和他事的积极态度和看法, 对他人的认同感和对群体的归属感, 以及对自身选择和决定的某种行为倾向。自从阿德勒提出社会兴趣后, 相关研究备受学界重视。目前, 社会兴趣的测量工具主要有《社会兴趣指数》、《Sulliman社会兴趣量表》、《社会兴趣量表》等。相关研究表明, 社会兴趣与情绪体验、心理发展水平等存在重要关联, 可提升生活品质, 减少犯罪行为, 作为心理治疗的重要内容。未来应该深化研究社会兴趣的概念及结构, 完善社会兴趣的测量方法以及开展本土化研究。"
"名字的心理效应：来自个体层面和群体层面的证据","苏红1,2;任孝鹏1","2015 Vol. 23 Issue (5)  879-887<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00879","作为典型的标识符号名字在社会认知过程中发挥着重要的识别功能, 随着互联网对人际互动方式的影响更加突出, 名字作为交往初期人际互动的重要信息, 其发挥的作用也更加明显。回顾心理学在个体水平和群体水平上对名字的研究, 可以发现名字既能影响个体的心理和行为, 又能反映群体的文化心理和偏好。在个体水平上, 名字通过影响名字主人的自我认同或通过影响他人对名字主人的评价来影响其心理和行为; 在群体水平上, 名字作为一种典型的文化产品可以探讨社会的文化变迁规律。以往研究多是基于西方文化中的人名展开, 然而中国人的名字具有自身的文化特殊性, 这一点值得心理学家给予更多的关注。未来心理学应开展更多本土文化背景下中国人名字的实证研究, 比如利用人名的演变更迭探究中国人独立性的代际变迁或是探究男性化/女性化名字与个体求职和网上约会的关系。"
"文化变迁中的价值观发展：概念、结构与方法","姜永志;白晓丽","2015 Vol. 23 Issue (5)  888-896<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00888","价值观对人的心理与行为产生重要导向作用。研究从价值观的概念、结构、方法和存在问题等方面对以往价值观研究进行了分析。价值观的概念在不同时期、不同文化背景中都存在差异, 但仍可提取出具有文化普适性的本质。价值观的结构在早期存在较多的结构类型, 并存在混淆和界定不清的问题, 后期的价值观结构研究开始逐渐凸显文化特性。价值观的研究方法从早期哲学思辨方法、文化人类学的文献分析法、田野调查法和访谈法等, 发展到较高实证水平的测量法和实验法, 目前正在向神经科学的脑成像法发展。未来价值观研究可在文化层次、社会层次和个人层次上, 对现有研究进行继承和突破, 揭示出价值观对个体心理与行为产生积极的导向作用内在机制。"
"从工作中的心理解脱：概念、测量及影响因素","韦慧民;赵鹤","2015 Vol. 23 Issue (5)  897-906<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00897","从工作中的心理解脱是员工在非工作时间从行动上避免去做工作相关的事情, 并在心理上不去想工作相关的事务。从工作中的心理解脱理论包括资源保存理论、穆斯(Moos R. H.)的社会环境理论和工作-家庭边界理论。从工作中的心理解脱受个体与情境因素影响, 主要包括人格特质、工作压力源、现代信息技术等。在当前工作与非工作边界渗透背景下, 未来研究需要在从工作中的心理解脱的综合驱动因素、影响效应和边界条件及跨文化研究等方面进行深入探讨。"
"多维计算机化自适应测验：模型、技术和方法","毛秀珍1;辛涛2","2015 Vol. 23 Issue (5)  907-918<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00907","多维计算机化自适应测验(multidimensional computerized adaptive testing, MCAT)以多维项目反应理论为基础实现同时估计被试在测验每个维度上的能力水平, 并通过计算机化自适应测验提高诊断评估的准确性和效率, 因而具有广阔的应用前景。基于对MCAT的模型基础、能力估计方法、选题策略和终止规则的详细介绍和评价, 提出了MCAT未来研究方向的几点思考。"
"视觉显示技术的新视角：交互显示","葛列众;孙梦丹;王琦君","2015 Vol. 23 Issue (4)  539-546<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00539","交互显示技术是近年人机界面显示技术中形成的一种新型显示技术。这种技术能根据用户的即时输入或操作特点改变初始界面中的显示内容或方式。交互显示技术可分为简单交互显示技术, 如鱼眼技术及其应用, 和智能交互显示技术, 如速率耦合平滑技术, 目标气泡技术等。目前的交互显示技术具有动态性、即时性和智能性等特点, 但仍存在如交互方式单一, 智能性不高等问题, 未来研究需强调显示内容变化、交互形式的多样性及其高级智能交互技术等方面的研究。"
"焦虑对社会决策行为的影响","古若雷1;施媛媛1,2;杨璟3;石晶1,2;蔡华俭1","2015 Vol. 23 Issue (4)  547-553<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00547","焦虑是在人类日常生活中常见的一种负性情绪。探讨焦虑情绪在个人生活和工作中扮演的角色, 是生理学界和心理学界的一项重要课题。过往研究显示焦虑水平的提高会对社会能力和社交技巧造成显著的影响。在社会决策领域中, 这种影响的具体表现是高焦虑者比低焦虑者更倾向于采取回避风险的策略。但是, 过往研究主要关心包含经济因素的社会决策, 而对其他类型的社会行为的探索存在不足。以下问题值得未来研究者们关注：在个体层面上, 高焦虑者是否会更容易受到外界信息的影响, 表现出更强的从众行为和权威依从倾向, 与他人进行社会比较或社会竞争的动机是否会被削弱？在群体层面上, 高焦虑者是否更容易表现出人际信任, 以及是否会表现出更强的服从集体倾向？考察这些问题将会为针对焦虑情绪的认知研究和临床研究起到促进作用。"
"多水平导师指导行为对员工结果的影响机制","陈诚1;文鹏2;舒晓兵1","2015 Vol. 23 Issue (4)  554-561<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00554","作为一种促进员工社会化和职业发展的工具, 导师制已在各类企业中得到了广泛应用。然而, 近些年员工工作需求以及组织工作方式的变化分别对导师指导行为的作用结果和指导内容产生了冲击。一方面, 传统导师指导行为作用的研究大多限于员工职业结果; 另一方面, 传统导师制的研究仍停留在一对一的指导, 忽略了针对徒弟群体的指导。为此, 将在现实观察和理论回顾的基础上, 首先提出多水平导师指导行为的概念, 包括为徒弟群提供“一致性”指导的“群体水平指导行为”与为单个徒弟提供“差异化”指导的“个体水平指导行为”; 然后, 检验自我效能与群体认同在多水平导师指导行为对徒弟个体和徒弟群体的工作绩效与非职业结果影响的中介机制, 以及不同水平导师指导行为对徒弟(群)结果的跨层交互效应。以期填补过去导师制在作用结果(仅仅关注职业结果)和指导内容(忽略群体水平)研究上的不足, 并为企业有效实施导师制提供启示与帮助。"
"人类的近似数量系统","李红霞;司继伟;陈泽建;张堂正","2015 Vol. 23 Issue (4)  562-570<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00562","近似数量系统(Approximate Number System, ANS)指个体在不需要依赖于计算和数量符号的情况下, 对一组数量进行近似表征的系统。通过总结近十年来研究者们在ANS的遗传和神经基础、干预训练等方面取得的新进展, 指出未来应综合运用各种认知神经科学研究手段立足于ANS的基因和脑生理基础研究, 进一步揭示ANS的本质和内在发生发展机制, 并将有关研究发现运用到教育教学中, 对数学困难儿童进行干预, 以提高其数学能力和适应社会的能力。"
"人类大脑结构和功能的性别差异：来自脑成像研究的证据","杨天亮;辛斐;雷旭","2015 Vol. 23 Issue (4)  571-581<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00571","大脑的性别差异近年来受到了广泛关注。脑成像技术的出现为脑结构和脑功能性别差异的研究开辟了新的道路。借助结构磁共振成像和弥散张量成像等脑结构信息, 以及脑电图、正电子发射断层扫描技术和功能性磁共振成像等脑功能信息, 当前研究主要探讨了脑灰质、脑白质和大脑的基线活动在脑局部区域、脑子系统、全脑连接组三个层次上的性别差异及其在年龄上的发展变化。此外, 为了更好地理解脑性别差异, 当前文章还探讨了脑性别差异研究领域的一些认识误区。有关脑性别差异的研究虽然已经取得了丰富的成果, 但现有的研究结果存在很多分歧, 仍然有深入挖掘的空间。未来应该加强对具有性别特异性的心理疾病脑机制的研究, 关注基因和环境对脑性别差异的交互作用, 并利用脑功能活动动态变化的特性、以及结合多模态的脑成像技术进一步阐明脑性别差异。"
"记忆再巩固的时间动态性及其生物学机制","曾祥星;杜娟;王凯欣;郑希付","2015 Vol. 23 Issue (4)  582-590<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00582","记忆巩固需经觉醒状态下的信息编码和睡眠状态下的巩固阶段两个过程。记忆再巩固理论认为记忆巩固是一个需要多次反复巩固的过程,即使已巩固的记忆也会在提取激活后变得不稳定, 需经再巩固才能重返稳定状态, 此过程需要新的蛋白质的合成。记忆再巩固具有较强的时间特征, 发生在记忆巩固之后, 依赖于蛋白质降解的去稳定化阶段和依赖于蛋白质合成的记忆再稳定阶段, 所持续的时间窗为6 h。不同类型的记忆是否引发记忆再巩固或消退行为, 取决于提取试次暴露所持续时间的长短。"
"皮质醇日常节律与儿童问题行为及心理社会因素的关系","聂瑞虹1;许颖2;韩卓1","2015 Vol. 23 Issue (4)  591-601<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00591","HPA轴(下丘脑?垂体?肾上腺皮质轴, hypothalamic-pituitary-adrenal cortex axis)是人体应对压力的重要神经内分泌系统, 其终产物皮质醇常作为测量压力的生物学指标。目前的研究多通过皮质醇日常节律表示静息状态下HPA轴的活动, 而日常节律因其较高的稳定性和可靠性成为儿童生理健康评估的最佳指标。儿童期迅速发育的神经内分泌系统与儿童的行为相互作用, 并受到多种心理社会因素的影响。以往研究主要关注皮质醇日常节律与儿童问题行为及心理社会因素的关系, 未来研究应讨论逆境条件下影响儿童成长的危险性因素和保护性因素, 并探索环境对儿童行为影响可能存在的内分泌机制。"
"神经质人格的神经生理基础","黄雅梅1,3;周仁来1,2,3,4;吴梦莹1,3","2015 Vol. 23 Issue (4)  602-613<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00602","神经质作为一种人格特质, 核心特征是具有负性情绪体验的倾向。高神经质个体表现出更强的情绪反应、更差的情绪感知和应对, 因而体验到更多的负性情绪, 进而容易形成一系列精神障碍和身体疾病。因此, 神经质成为精神病理学中一个重要的风险因素。来自自主神经系统、神经内分泌系统和脑的证据发现, 高神经质个体心血管灵活性降低、HPA轴基线活动增强、EEG活动增大以及负性情绪引起的杏仁核活动增强, 其中杏仁核的自上而下和自下而上通路可能是整合多方面证据的关键。进一步研究应致力于将遗传学、电生理学、生物化学、脑成像技术等相结合, 构建神经质产生、形成的神经生理模型。"
"投射性认同的三次转向：内涵演变与概念比较","陈劲骁1;陈巍2,3","2015 Vol. 23 Issue (4)  614-620<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00614","投射性认同发端自Freud的投射概念, 后由Klein正式提出, 经过Bion, Resenfeld, Grotstein等人的发展, 已经成为精神分析的核心概念之一。其内涵演变经历了从单向投射到双向互动, 从内心幻想到现实交流, 从母婴关系到咨访关系的三次重要转向。投射性认同较投射而言是一种更成熟复杂的防御机制, 与移情的差异则体现在起因、内容和结果等方面。近年来, 神经精神分析的兴起与镜像神经元的发现为理解投射性认同的发生机制提供了神经生物学的基础。"
"积极情感和消极情感适应的不对称性及其机制探讨","李爱梅;高结怡;彭元;夏萤;陈晓曦","2015 Vol. 23 Issue (4)  632-642<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00632","情感适应是指对重复或连续刺激的情感反应慢慢变弱的现象。近年来有关实证研究发现, 积极情感与消极情感适应在速度和程度上具有不对称性, 对适应不对称性的解释可以从进化心理学、认知心理学以及积极心理学三个视角进行。未来的研究应该进一步关注：(1)区分主观幸福感不同成分的情感适应; (2)探讨人格因素在情感适应中的调节效应; (3)完善情感适应的干预方法; (4)提高情感适应研究在时间上的精确性。"
"一般人格因素：虚妄的杜撰还是真实的存在","朱徽;闫巩固","2015 Vol. 23 Issue (4)  643-653<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00643","一般人格因素(General Factor of Personality, GFP)是人格层次结构中处于最高阶的单一因素。该因素被认为是最一般的非认知人格因素, 且一般人格因素分数高的人在进化中具有更好的适应性。自2007年Musek提出该概念之后, 一般人格因素研究已成为人格研究领域的重大热点问题。本文简要回顾了一般人格因素概念的历史源流, 全面地介绍了一般人格因素的统计测量学证据、行为遗传学证据和一般人格因素与其它心理学变量的相关证据, 并对现有的质疑与回应进行了概述。目前的研究表明从不同理论框架设计的人格问卷都能够提取一般人格因素, 来自行为遗传学的多数证据支持一般人格因素的存在, 一般人格因素被证明与社会适应性指标相关。最后, 提出了一般人格因素未来研究的几点展望。"
"工作场所的出勤主义行为：组织管理研究的新课题","孙健敏1,2;张晔骏1","2015 Vol. 23 Issue (4)  654-668<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00654","出勤主义行为是指在生病时依然坚持工作的行为。工作场所的出勤主义行为不仅危害员工的个人健康, 还会给企业带来额外的支出。近年来, 出勤主义行为逐渐引起管理者的重视, 并得到越来越多管理学和心理学研究者的关注。总结以往研究, 对出勤主义行为的概念界定和测量方法进行了概述, 从个人因素、工作相关因素、组织层面因素和团队层面因素四个方面探讨了出勤主义行为的影响因素, 并总结了出勤主义行为对个人健康、工作方面和组织层面的影响。最后, 对出勤主义行为未来的研究方向进行了展望。"
"工作幸福感：概念、测量水平与因果模型","邹琼1;佐斌2;代涛涛2","2015 Vol. 23 Issue (4)  669-678<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00669","工作幸福感是个体工作目标和潜能充分实现的心理感受及愉悦体验, 是一个需要组织和个人持久努力和投资的动态过程, 包括工作投入、心流体验、工作旺盛感、工作满意度、工作积极情感等宽泛的结构。有必要从暂时、个体和单元三个水平对工作幸福感进行研究。随着研究方法的进展, 工作幸福感的研究呈现出个体差异和个体内波动结合的趋势。工作幸福感多水平动态形成机制模型整合了组织和工作环境因素、个人特征以及人与环境的交互作用, 体现了工作幸福感的动态特征, 解释了人类基本心理需要的满足是工作幸福感形成的心理机制。外溢?交叉动态模型解释了幸福感在不同生活领域的外溢以及在工作团队成员或家庭配偶之间的传递, 有助于推动工作幸福感不同测量水平的效应研究。未来需要通过实证研究检验工作幸福感的动态因果模型, 探讨不同水平的工作幸福感对绩效的影响机制, 更多地研究心流体验、心理旺盛感、高兴和自豪等工作幸福感指标, 加强对工作幸福感的干预研究。"
"消费者健康促进行为的类型及形成机制","王财玉1,2;雷雳1,3","2015 Vol. 23 Issue (4)  679-689<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00679","消费者健康促进行为是以促进个体身心健康为目标的消费行为, 主要包括食品消费、医疗消费、体育消费、旅游消费以及文化消费等类型。消费者健康促进行为的影响因素包括本因与近因。本因关注人类进化心理的影响, 表现为趋利避害的倾向; 近因则反映了现实性因素的影响。其中, 近因中的现实性影响主要从以下几个视角展开：生命历程视角关注童年期家庭经历对后续消费行为的累积影响; 生态机制探讨个体所处生态系统的层层渗透作用; 动力机制则阐述了健康驱力的内部形成过程。文章最后, 我们构建了消费者健康促进行为形成的综合模型, 并指出了未来的研究方向。"
"顾客欺凌行为：概念、测量、形成与作用机制","占小军1;李志成2;梁雪娇1","2015 Vol. 23 Issue (4)  690-701<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00690","顾客欺凌行为是指在服务交互过程中, 员工感知到来自顾客“低质量”的人际对待, 表现为顾客言语侵犯、性骚扰等。以往研究较深入地探讨了其相关概念、结构、影响因素和影响后果。顾客欺凌行为受个体主观因素和客观因素影响, 通过资源保存、社会交换、情感事件及组织公平理论对个体和组织产生影响。未来研究应更深入探讨顾客欺凌行为的概念、结构和测量问题, 进一步探索其作用机制, 并基于不同的文化情境进行跨文化的研究。"
"职场负面八卦的前因与后果：基于八卦目标的视角","岳文忠1;吴隆增2;杨自伟3;翟海燕3,4","2015 Vol. 23 Issue (4)  702-710<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00702","职场负面八卦由三个参与主体构成：八卦者、八卦倾听者、八卦目标。目前职场负面八卦的相关研究主要是从八卦者或倾听者的角度展开的, 并且这些研究大多是利用实验及小样本数据来对八卦产生的前因及其后果进行验证, 而基于八卦目标的角度并使用大样本数据来对职场负面八卦进行的研究非常缺乏。作者在梳理相关文献的基础上, 分析了职场负面八卦可能形成的前因与后果, 以期为基于八卦目标的视角进行的职场负面八卦的大样本研究提供部分框架指引。"
"道歉：对冒犯事件的关系补救行为","吴海艳1,2;王玲1;喻承甫1;梁勤1;杨曹芬1;刘欣1","2015 Vol. 23 Issue (4)  711-720<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00711","道歉是指当冒犯者意识到自己的冒犯行为后, 为重建与被冒犯者的关系, 向被冒犯者承认错误、承担责任、表达懊悔并请求原谅的一种关系补救行为。冒犯者的性别、归因倾向、冒犯意图、知觉到的道歉有效性等影响道歉的发生, 道歉的表达方式与内容、冒犯者的性别等会影响道歉的有效性。道歉能促进宽恕、和解以及民族和睦。未来研究需明晰道歉的概念, 拓展其研究模式与测量工具, 在系统深入探讨道歉的产生机制与结果的基础上构建道歉的理论及促进其实践应用。"
"记忆提取的决定因素：线索负荷、编码-提取匹配和辨别","白学军1;刘湍丽1,2;邢敏2;巩彦斌1","2015 Vol. 23 Issue (3)  349-363<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00349","“哪些因素决定提取效果”是记忆研究的主要问题之一。线索负荷假说认为与提取线索相关联的项目数量决定了提取效果, 编码-提取匹配假说则强调编码与提取阶段的匹配程度决定提取成绩。这两者在记忆研究的不同时期均受到研究者的关注。在整合以往研究的基础上, 有研究者提出了记忆是一个辨别过程的新观点, 认为真正对回忆成绩起决定作用的是线索在多大程度上与某一目标项目匹配并能排除其他可能的备选项目。该观点对深入探索“哪些因素决定提取效果”这一问题提供了新的视角。在未来的研究中, 研究者应正确看待辨别过程观点与编码-提取匹配观点的关系, 同时可以借助新的技术手段从多个层面对这一新观点进行检验, 并进一步丰富和完善该理论解释。"
"模糊决策的认知神经机制","张凤华1,2;张玉婷1;向玲1;胡竹菁1","2015 Vol. 23 Issue (3)  364-374<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00364","模糊决策是特殊、复杂的风险决策, 还是一种独立的决策类型, 是当前认知神经科学争论的热点问题。一系列的fMRI研究分别得出了不同结论, 但大多数证据支持模糊决策和风险决策之间存在分离, 模糊决策有其独特的决策机制; 模糊决策的认知神经机制也是一个亟待解决的问题。因此本研究拟应用事件相关电位技术、生物反馈技术和基因技术, 采用IGT和GDT任务范式, 通过网络成瘾人群和正常人群的对比研究, 去探索模糊决策和风险决策之间的分离; 应用事件相关电位技术和磁共振技术, 采用IGT范式和选瓶任务范式, 研究模糊决策的认知神经机制; 并从临床角度进一步验证上述结果。该项目的开展, 有助于拓广模糊决策的研究领域和视野, 对理解人类在模糊情境下的决策机制以及模糊决策和风险决策之间的关系, 具有重要的理论意义; 对临床上成瘾人群、脑损伤患者的认知诊断和治疗以及现实中企业和个人的决策, 具有重要的参考价值。"
"创造性问题解决的动态神经加工模式","赵庆柏;李松清;陈石;周治金;成良","2015 Vol. 23 Issue (3)  375-384<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00375","先前研究基于功能特化的思想, 基本完成了创造性问题解决相关的各个关键脑区的功能定位, 但并未揭示这些关键脑区在创造活动中的动态神经活动以及它们之间的相互作用关系。本研究拟从动态的功能整合的思想出发, 采用时间序列分析和有效连通性分析方法, 对语义类问题的创造性解决中的信息选择和新颖联结形成等关键子过程的大脑动态加工模式进行研究。本研究不仅能丰富并发展创造性问题解决神经基础的研究方法, 而且能够从系统的层面, 从动态信息加工的角度加深对创造性问题解决脑机制的认识, 推动其神经理论的发展。"
"时间期待的认知与神经机制","邱俊杰1;毕翠华2;袁祥勇1;黄希庭1","2015 Vol. 23 Issue (3)  385-393<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00385","时间期待是指个体利用环境中的时间信息预测目标刺激何时出现的能力。相关的认知模型可以分为两类：一类侧重于解释时间期待的形成过程, 如痕迹条件反射模型、双加工模型、动态注意模型、时间定向理论等; 另一类侧重于解释时间期待的更新过程, 如策略模型和时间再定位模型等。不同类型的时间期待激活的脑区不同, 表明时间期待的产生和更新过程存在分离：期待的产生激活与运动有关的左侧脑区, 而期待的更新激活与控制有关的右侧脑区。"
"想象未来的认知加工成分及其脑网络","徐晓晓;喻婧;雷旭","2015 Vol. 23 Issue (3)  394-404<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00394","合理预期和想象未来事件或场景, 有利于个体做出适应性反应, 促进生存与发展。近年来, 研究者对想象未来的认知加工成分和神经机制进行了深入探讨, 提出了想象未来的相关概念和理论。我们首先概述了想象未来实验常用的思维采样范式和词语-线索范式, 接着介绍了想象未来的自我参照加工、心理场景构建等认知加工成分。此外, 特别介绍了想象未来的默认网络模型以及与之相关的其他大尺度脑网络, 并进一步提出了想象未来的脑网络研究框架。未来的研究可从想象未来的动态脑网络、复杂脑网络以及与疾病的关系等角度入手, 深入探究想象未来的神经机制。"
"“镜像”的内涵与外延：围绕镜像神经元的争议","陈波1,2;陈巍3,4;张静4;袁逖飞5","2015 Vol. 23 Issue (3)  405-418<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00405","镜像神经元被认为是改变认知神经科学的重要发现, 它的发现为迄今为止许多行为实验难以检验的心智或认知现象提供了一个统一的研究视角。然而, 镜像神经元在社会认知活动中的重要作用却引起了研究者的激烈争论。系统回顾镜像神经元研究中的争议, 可以尝试以争论焦点出现的逻辑关系和性质为依据将其划分为两类：一类是关于镜像“内涵”的争议, 主要包括镜像神经元是否存在及其起源的争议。另一类则主要围绕镜像“外延”的争议, 即有关镜像神经元系统和镜像机制的争议。未来的研究必须摒弃将镜像神经元视为“认知科学圣杯”的神经还原主义倾向, 将之视为一个由多个子系统组成的开放的复杂巨系统, 并将焦点转向关注镜像机制。"
"音乐训练对认知能力的影响","王杭1;江俊2;蒋存梅1","2015 Vol. 23 Issue (3)  419-429<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00419","在当今社会中, 越来越多的儿童接受音乐训练, 试图通过音乐训练提高认知能力。针对认知活动中的语言能力、空间能力以及数学能力, 探究音乐训练与认知能力的关系, 试图为音乐教育提供实证依据。研究结果表明, 尽管音乐训练与认知能力的关系较为复杂, 但是, 音乐训练与个体的语言知觉和产生能力以及空间视觉化能力都存在正相关, 且在一定程度上可以提高这些认知能力。"
"认知储备的测量及其在认知老化中的应用","何燕;余林;闫志民:赵宇晗","2015 Vol. 23 Issue (3)  430-438<U+00A0><U+00A0><U+00A0><U+00A0>","认知储备是指个体自适应利用神经网络对不断增加的脑损伤进行补偿的能力, 它能显著影响个体的生理功能、认知功能和行为结果。当前有关认知储备的研究主要集中在认知储备的测量及其在认知老化研究中的应用方面。现有研究尽管已在认知储备的测量及其与认知老化的关系上取得越来越多的共识, 但在诸如认知储备测量的标准化、认知储备与认知衰退率、认知储备与脑病理的关系等问题上还存在较大争议。未来研究除应进一步标准化对认知储备的测量, 进而探讨认知储备的病理机制, 还应关注认知储备对老化的干预研究。"
"“孤芳自赏”还是“茕茕孑立”：儿童社交淡漠适应功能的文化差异","丁雪辰1;张田2;邓欣媚3;桑标1,4;方力5;程琛1","2015 Vol. 23 Issue (3)  439-447<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2015.00439","社会退缩行为是指在社会情境中, 儿童不参与社会互动并频繁表现出独自消遣的行为。社会退缩有多种亚类型, 其中社交淡漠指儿童仅仅喜欢一个人独处, 对社会互动没有兴趣。有趣的是, 社交淡漠的适应功能存在一定的文化差异, 主要表现为：社交淡漠行为在个人主义文化中较少产生适应困难, 在心理与情绪适应方面尤为明显; 但其在集体主义文化里却会引起多方面的适应困难。这种差异可能与文化价值观的内涵有关, 也可能与特定国情有关。未来的研究亟需提高研究方法的多面性, 关注年龄与文化的交互作用, 进行直接的跨文化比较, 探索与文化相关的风险与保护因子, 以及关注互联网环境的影响。"
